regime,corpus,lang,length,unit_id,source_url,text_sha256
P1,nep_wikipedia_2021_100K,nep,L20,82,http://ne.wikipedia.org/wiki/घिउ_कुमारी,9563aa66b1de36589e04a0faeae7ce1d13431d767135be597f8858e82f95e8f7
P1,nep_wikipedia_2021_100K,nep,L20,83,http://ne.wikipedia.org/wiki/प्युठान_जिल्ला,51ae570829634919ef57cfb7701fdc138c4b028155909d5837df07b8ea540f02
P1,nep_wikipedia_2021_100K,nep,L20,84,http://ne.wikipedia.org/wiki/प्रेमेजुङ,66284ac8a7d76706af08571f049d596d7c12540dffbf37fa8335795dd4040cf6
P1,nep_wikipedia_2021_100K,nep,L20,85,http://ne.wikipedia.org/wiki/श्रीराम_अवतार,17f251e99e69d71954759a0d648c840f738815519c8b4107616b4a992aa042b4
P1,nep_wikipedia_2021_100K,nep,L20,86,http://ne.wikipedia.org/wiki/माघे_सङ्क्रान्ति,93bf59860edfae3b470e1321020614f492eb4f33b727466bf19146edfb2ce163
P1,nep_wikipedia_2021_100K,nep,L20,87,http://ne.wikipedia.org/wiki/डन्डी_बियो,a5e1bb563fb0b0c359eafeab044bacc20d93fe3363ed56945d77a3db0922f43a
P1,nep_wikipedia_2021_100K,nep,L20,88,http://ne.wikipedia.org/wiki/सामसङ,f465a38bc38f9162f9f974080fde1c6a747be50c6e1d83b51303cb49909b9c6b
P1,nep_wikipedia_2021_100K,nep,L20,89,http://ne.wikipedia.org/wiki/आशा_भोसले,d15d69f5f68540d3107ecbca8724ddba1a8cd51a9b2ba0e850292357fe731702
P1,nep_wikipedia_2021_100K,nep,L20,90,http://ne.wikipedia.org/wiki/लभ_स्टोरी_(टेलर_स्विफ्टको_गीत),3e17b8deaab6c8391394af9286874170a90a5b6b60c41e211fe6d716583c5cb3
P1,nep_wikipedia_2021_100K,nep,L20,91,http://ne.wikipedia.org/wiki/च्याउ,e1f784e40d2b6b99a4a06ab6086a24a45f6af0bdf42282963db2318363e0e5ae
P1,nep_wikipedia_2021_100K,nep,L20,92,http://ne.wikipedia.org/wiki/सान्नी_राज्य,46e4d3fd0b1ff24d279c175ce1435bac6c6bf53264b4a7537e730b35a9c65c72
P1,nep_wikipedia_2021_100K,nep,L20,93,http://ne.wikipedia.org/wiki/नेपाली_चलचित्र,a65e1c3a20d8c031bab3238abed19914faea432eb0d4c40f1d920faf7eaa3182
P1,nep_wikipedia_2021_100K,nep,L20,94,http://ne.wikipedia.org/wiki/चाकाकेदार,004e8d98d7a369da7a0e8ca6c9ee40d4b3c522eb25afce6925e213345aa90a90
P1,nep_wikipedia_2021_100K,nep,L20,95,http://ne.wikipedia.org/wiki/सार्लेट_फ्लेयर,c698754489d70a5d1e2caf1c595a2faa814024de4aa1381507e30e2264b778ea
P1,nep_wikipedia_2021_100K,nep,L20,96,http://ne.wikipedia.org/wiki/पूर्व_पाकिस्तान,130b06c4b10bff1f766842b5c49dc6fc3ebddd70923e7d9157e64e9b485118c9
P1,nep_wikipedia_2021_100K,nep,L20,97,http://ne.wikipedia.org/wiki/मेसोपोटामियाको_सभ्यता,05a45e682b9aac595096ca5e3fd136e40f8ff11b4d8b168c763042d02e47ff02
P1,nep_wikipedia_2021_100K,nep,L20,98,http://ne.wikipedia.org/wiki/ढाड_दुख्ने_समस्या,ca5662ead532d739ea165be273ba1736daf56f79fcb5e6893413895fe2c9ae18
P1,nep_wikipedia_2021_100K,nep,L20,99,http://ne.wikipedia.org/wiki/पानासोनिक,114558584196352c4468b9832c7e703a36ebe353060ce5c0852e00371c7b783f
P1,nep_wikipedia_2021_100K,nep,L20,100,http://ne.wikipedia.org/wiki/मकवानपुर_जिल्ला,d57039475133b0d85b6c954148e97e4be1112ae94c012726f0e7b8705ba052bc
P1,nep_wikipedia_2021_100K,nep,L20,101,http://ne.wikipedia.org/wiki/विद्यापति,d4b0019ef36e4a93a6d1618d0a7c49a1bc01f62a6fde6282a81d2d37bba5d2fb
P1,nep_wikipedia_2021_100K,nep,L20,102,http://ne.wikipedia.org/wiki/महेन्द्र_वीर_विक्रम_शाह,56b78b2001565a3eefeffce0289f5f0bb913bbe71ae4060083a40662fb49214e
P1,nep_wikipedia_2021_100K,nep,L20,103,http://ne.wikipedia.org/wiki/जर्मनीको_एकीकरण,65521379d401a0add6ae4da9eea861a49fe42ca0363a0b06ad43f68236d5a55c
P1,nep_wikipedia_2021_100K,nep,L20,104,http://ne.wikipedia.org/wiki/अर्थशास्त्रीय_दर्शन,8dff1fae9be2aca65eb343233927e069dc7ac3e0d70d080aa76775bc5d1ec43c
P1,nep_wikipedia_2021_100K,nep,L20,105,http://ne.wikipedia.org/wiki/आर्थिक_विचारको_इतिहास,9e17ddebdabe72b64fa25e976c9134e978b32e19fd15f6ecbc78b84762812b3e
